Glacier,Date,Mass(Gigatonnes)
Antarctica,2002.29,0
Antarctica,2002.35,23.7
Antarctica,2002.62,-51.67
Antarctica,2002.71,47.89
Antarctica,2002.79,72.21
Antarctica,2002.87,-59.54
Antarctica,2002.96,-41.94
Antarctica,2003.04,-47.77
Antarctica,2003.12,-196.05
Antarctica,2003.2,-164.51
Antarctica,2003.29,-35.46
Antarctica,2003.36,6.62
Antarctica,2003.54,-118.07
Antarctica,2003.62,-113.38
Antarctica,2003.71,-121.68
Antarctica,2003.79,-38.91
Antarctica,2003.87,-98.21
Antarctica,2003.96,-263.54
Antarctica,2004.02,-324.03
Antarctica,2004.13,-482.18
Antarctica,2004.21,-330.45
Antarctica,2004.29,-376.34
Antarctica,2004.37,-147.69
Antarctica,2004.46,-180.02
Antarctica,2004.54,-304.17
Antarctica,2004.62,-157.91
Antarctica,2004.71,-154.07
Antarctica,2004.79,-77.58
Antarctica,2004.87,-219.45
Antarctica,2004.96,-298
Antarctica,2005.04,-384.07
Antarctica,2005.12,-446.8
Antarctica,2005.2,-397.61
Antarctica,2005.29,-243.25
Antarctica,2005.37,-221.04
Antarctica,2005.46,-197.63
Antarctica,2005.54,-151.79
Antarctica,2005.62,-201.2
Antarctica,2005.71,-104.09
Antarctica,2005.79,-97.81
Antarctica,2005.87,-51.27
Antarctica,2005.96,-156
Antarctica,2006.04,-216.53
Antarctica,2006.12,-309.85
Antarctica,2006.2,-174.33
Antarctica,2006.29,-150.68
Antarctica,2006.37,-71.71
Antarctica,2006.45,-42.03
Antarctica,2006.54,-91.59
Antarctica,2006.62,-1.54
Antarctica,2006.71,-13.62
Antarctica,2006.79,-88.09
Antarctica,2006.87,-80.56
Antarctica,2006.96,-226.28
Antarctica,2007.04,-430.45
Antarctica,2007.12,-420.86
Antarctica,2007.2,-352.28
Antarctica,2007.29,-327.42
Antarctica,2007.37,-171.53
Antarctica,2007.45,-183.02
Antarctica,2007.54,-259.85
Antarctica,2007.62,-223.61
Antarctica,2007.71,-150.57
Antarctica,2007.79,-239.08
Antarctica,2007.87,-431.28
Antarctica,2007.96,-513.31
Antarctica,2008.04,-720.76
Antarctica,2008.12,-600.08
Antarctica,2008.21,-731.84
Antarctica,2008.29,-555.54
Antarctica,2008.37,-465.02
Antarctica,2008.46,-548.6
Antarctica,2008.54,-643.52
Antarctica,2008.62,-594.91
Antarctica,2008.71,-434.81
Antarctica,2008.79,-524.29
Antarctica,2008.87,-512.7
Antarctica,2008.96,-617.1
Antarctica,2009.04,-697.78
Antarctica,2009.12,-672.49
Antarctica,2009.2,-609.29
Antarctica,2009.29,-571.38
Antarctica,2009.37,-545.86
Antarctica,2009.46,-532.31
Antarctica,2009.54,-431.32
Antarctica,2009.62,-461.85
Antarctica,2009.71,-474.72
Antarctica,2009.79,-529.23
Antarctica,2009.87,-515.5
Antarctica,2009.96,-625.31
Antarctica,2010.04,-795.23
Antarctica,2010.12,-801.35
Antarctica,2010.2,-682.39
Antarctica,2010.29,-752.63
Antarctica,2010.37,-773.96
Antarctica,2010.45,-790.51
Antarctica,2010.54,-989.84
Antarctica,2010.62,-916.86
Antarctica,2010.71,-838.33
Antarctica,2010.79,-869.79
Antarctica,2010.87,-890.57
Antarctica,2010.95,-903.52
Antarctica,2011.13,-994.81
Antarctica,2011.2,-1008.99
Antarctica,2011.29,-1021.11
Antarctica,2011.37,-955.17
Antarctica,2011.54,-903.35
Antarctica,2011.62,-918.81
Antarctica,2011.71,-829.25
Antarctica,2011.79,-874.95
Antarctica,2011.83,-870.33
Antarctica,2012,-1138.07
Antarctica,2012.04,-1067.41
Antarctica,2012.12,-1131.21
Antarctica,2012.21,-1107.48
Antarctica,2012.26,-1047.95
Antarctica,2012.46,-1084.31
Antarctica,2012.54,-1051.33
Antarctica,2012.62,-971.21
Antarctica,2012.7,-938.21
Antarctica,2012.88,-1059.38
Antarctica,2012.96,-1105.82
Antarctica,2013.04,-1276.52
Antarctica,2013.12,-1384.04
Antarctica,2013.3,-1125.36
Antarctica,2013.37,-1227.25
Antarctica,2013.46,-1235.45
Antarctica,2013.54,-1197.92
Antarctica,2013.79,-1289.52
Antarctica,2013.87,-1336.74
Antarctica,2013.96,-1388.09
Antarctica,2014.02,-1497.8
Antarctica,2014.2,-1604.11
Antarctica,2014.29,-1523.72
Antarctica,2014.37,-1430.18
Antarctica,2014.45,-1474.46
Antarctica,2014.62,-1522.64
Antarctica,2014.71,-1349.46
Antarctica,2014.79,-1438.74
Antarctica,2014.88,-1513.09
Antarctica,2015.06,-1817.86
Antarctica,2015.12,-1894.34
Antarctica,2015.2,-1858.86
Antarctica,2015.29,-1837.87
Antarctica,2015.32,-1765.62
Antarctica,2015.53,-1733.56
Antarctica,2015.62,-1883.31
Antarctica,2015.7,-1837.29
Antarctica,2015.98,-1881.26
Antarctica,2016.04,-1902.3
Antarctica,2016.12,-1978.22
Antarctica,2016.21,-1913.92
Antarctica,2016.38,-1777.79
Antarctica,2016.46,-1760.63
Antarctica,2016.54,-1641.94
Antarctica,2016.64,-1587.87
Antarctica,2016.91,-1661.11
Antarctica,2016.98,-1571.79
Antarctica,2017.06,-1591.3
Antarctica,2017.25,-1911.15
Antarctica,2017.31,-1833.14
Antarctica,2017.36,-1798.87
Antarctica,2017.44,-1796.49
Antarctica,2018.45,-1967.5
Antarctica,2018.52,-1983.12
Antarctica,2018.83,-2242.37
Antarctica,2018.87,-2206.66
Antarctica,2018.96,-2258.68
Antarctica,2019.04,-2349.45
Antarctica,2019.12,-2392.7
Antarctica,2019.2,-2296.6
Antarctica,2019.29,-2116.61
Antarctica,2019.37,-2170.22
Antarctica,2019.45,-2262.15
Antarctica,2019.54,-2166.4
Antarctica,2019.62,-2211.57
Antarctica,2019.71,-2086.12
Antarctica,2019.79,-2269.47
Antarctica,2019.87,-2330.26
Antarctica,2019.96,-2375.21
Antarctica,2020.04,-2683.42
Antarctica,2020.12,-2793.27
Antarctica,2020.21,-2611.1
Antarctica,2020.29,-2517
Antarctica,2020.37,-2438.81
Antarctica,2020.46,-2405.06
Antarctica,2020.54,-2336.46
Antarctica,2020.62,-2228.37
Antarctica,2020.71,-2415.45
Antarctica,2020.79,-2516.41
Antarctica,2020.87,-2561.88
Antarctica,2020.96,-2714.83
Antarctica,2021.04,-3029.88
Antarctica,2021.12,-2714.44
Antarctica,2021.2,-2667.45
Antarctica,2021.29,-2455.75
Antarctica,2021.37,-2438.42
Antarctica,2021.46,-2603.65
Antarctica,2021.54,-2650.01
Antarctica,2021.62,-2602.02
Antarctica,2021.71,-2668.95
Antarctica,2021.79,-2522.81
Antarctica,2021.87,-2855.94
Antarctica,2021.96,-2744.04
Antarctica,2022.04,-2704.92
Antarctica,2022.12,-2663.26
Antarctica,2022.2,-2630.04
Antarctica,2022.29,-2298.75
Antarctica,2022.37,-2155.93
Antarctica,2022.45,-2358.85
Antarctica,2022.54,-2419.38
