Glacier,Date,Mass(Gigatonnes)
Greenland,2002.29,0
Greenland,2002.35,-68.44
Greenland,2002.62,220.42
Greenland,2002.71,241.73
Greenland,2002.79,209.72
Greenland,2002.87,211.82
Greenland,2002.96,195.18
Greenland,2003.04,149.51
Greenland,2003.12,158.68
Greenland,2003.2,95.14
Greenland,2003.29,48.79
Greenland,2003.36,41.48
Greenland,2003.54,216.94
Greenland,2003.62,351.62
Greenland,2003.71,394.07
Greenland,2003.79,393
Greenland,2003.87,394.07
Greenland,2003.96,355.54
Greenland,2004.02,378.27
Greenland,2004.13,385.59
Greenland,2004.21,364.85
Greenland,2004.29,300.72
Greenland,2004.37,318.51
Greenland,2004.46,338.46
Greenland,2004.54,435.25
Greenland,2004.62,559.47
Greenland,2004.71,600.31
Greenland,2004.79,619.35
Greenland,2004.87,576.53
Greenland,2004.96,552.48
Greenland,2005.04,566.27
Greenland,2005.12,543.39
Greenland,2005.2,500.27
Greenland,2005.29,490.44
Greenland,2005.37,455.96
Greenland,2005.46,503.05
Greenland,2005.54,631.94
Greenland,2005.62,821.82
Greenland,2005.71,887.54
Greenland,2005.79,877.08
Greenland,2005.87,874.57
Greenland,2005.96,825.54
Greenland,2006.04,849.33
Greenland,2006.12,801.78
Greenland,2006.2,780.62
Greenland,2006.29,803.76
Greenland,2006.37,793.74
Greenland,2006.45,805.86
Greenland,2006.54,892.06
Greenland,2006.62,1018.65
Greenland,2006.71,1079.85
Greenland,2006.79,1066.21
Greenland,2006.87,1093.7
Greenland,2006.96,1102.49
Greenland,2007.04,1070.7
Greenland,2007.12,1028.28
Greenland,2007.2,1038.67
Greenland,2007.29,1025.09
Greenland,2007.37,1011.74
Greenland,2007.45,1031.75
Greenland,2007.54,1161.94
Greenland,2007.62,1357.25
Greenland,2007.71,1419.58
Greenland,2007.79,1446.96
Greenland,2007.87,1422.84
Greenland,2007.96,1364.57
Greenland,2008.04,1325.57
Greenland,2008.12,1342.81
Greenland,2008.21,1291
Greenland,2008.29,1307.5
Greenland,2008.37,1323.79
Greenland,2008.46,1326.84
Greenland,2008.54,1474.05
Greenland,2008.62,1634.11
Greenland,2008.71,1697.94
Greenland,2008.79,1685.6
Greenland,2008.87,1612.57
Greenland,2008.96,1541.46
Greenland,2009.04,1522.3
Greenland,2009.12,1567.91
Greenland,2009.2,1566.42
Greenland,2009.29,1547.19
Greenland,2009.37,1530
Greenland,2009.46,1538.08
Greenland,2009.54,1647.94
Greenland,2009.62,1855.37
Greenland,2009.71,1910.43
Greenland,2009.79,1883.35
Greenland,2009.87,1866.41
Greenland,2009.96,1842.59
Greenland,2010.04,1846.69
Greenland,2010.12,1826.8
Greenland,2010.2,1815.38
Greenland,2010.29,1838.17
Greenland,2010.37,1806.54
Greenland,2010.45,1913.78
Greenland,2010.54,2088.78
Greenland,2010.62,2281.49
Greenland,2010.71,2381.01
Greenland,2010.79,2344.93
Greenland,2010.87,2361.8
Greenland,2010.95,2344.61
Greenland,2011.13,2324.84
Greenland,2011.2,2307.27
Greenland,2011.29,2301.26
Greenland,2011.37,2323.19
Greenland,2011.54,2513.89
Greenland,2011.62,2707.69
Greenland,2011.71,2764.48
Greenland,2011.79,2787.09
