year,sea_level
1993.011526,0
1993.038692,-3.4
1993.065858,-3.36
1993.093025,-4.1
1993.120191,0.73
1993.147357,2.51
1993.174523,2.48
1993.201689,3.06
1993.228855,3.13
1993.256021,-0.66
1993.283188,1.07
1993.310354,4.07
1993.33752,1.97
1993.364686,-0.19
1993.391852,-1.63
1993.419018,0.26
1993.446185,2.55
1993.473351,3.37
1993.500517,3.21
1993.527683,2.79
1993.554849,10.12
1993.582015,2.88
1993.609181,4.47
1993.636348,8.33
1993.663514,8.83
1993.69068,8.06
1993.717846,6.6
1993.745012,9.79
1993.772178,12.01
1993.799345,9.25
1993.826511,7.68
1993.853677,7.1
1993.880843,6.14
1993.908009,4.29
1993.935175,6.33
1993.962341,10.22
1993.989508,7.46
1994.016674,5.26
1994.04384,7.72
1994.071006,9.28
1994.098172,4.49
1994.125338,1.18
1994.152505,1.8
1994.179671,6.33
1994.206837,3.36
1994.234003,9.92
1994.261169,6.68
1994.288335,6.9
1994.315501,5.3
1994.342668,3.98
1994.369834,3.41
1994.397,0.66
1994.424166,3.13
1994.451332,5.97
1994.478498,-1.73
1994.505664,-0.01
1994.532831,5.77
1994.559997,7.12
1994.587163,7.26
1994.614329,6.93
1994.641495,9.73
1994.668661,11.58
1994.695828,13.21
1994.722994,12.43
1994.75016,11.51
1994.777326,13.04
1994.804492,15.21
1994.831658,12.97
1994.858824,18.58
1994.885991,10.21
1994.913157,6.49
1994.940323,10.74
1994.967489,12.61
1994.994655,13.65
1995.021821,13.86
1995.048988,11
1995.076154,13.33
1995.10332,8.11
1995.130486,4.55
1995.157652,9.68
1995.184818,9.59
1995.211984,14.69
1995.239151,8.01
1995.266317,7.25
1995.293483,7.29
1995.320649,8.45
1995.347815,0.6
1995.374981,5.13
1995.402148,6.82
1995.429314,9.48
1995.45648,6.48
1995.483646,5.24
1995.510812,9.33
1995.537978,6.22
1995.565144,7.65
1995.592311,8.39
1995.619477,10.38
1995.646643,11.51
1995.673809,14.24
1995.700975,15.76
1995.728141,21.19
1995.755307,15.57
1995.782474,14.51
1995.80964,8.26
1995.836806,14.01
1995.863972,13.01
1995.891138,14.63
1995.918304,-5.84
1995.945471,11.06
1995.972637,16.75
1995.999803,11.85
1996.026895,8.02
1996.053987,6.31
1996.081079,4.96
1996.108171,11.06
1996.135263,7.43
1996.162355,11.13
1996.189447,7.75
1996.216539,9.58
1996.243631,9.54
1996.270723,6.23
1996.297815,6.18
1996.324907,9.01
1996.351998,9.04
1996.37909,7.63
1996.406182,9.51
1996.433274,9.76
1996.460366,4.89
1996.487458,10.46
1996.51455,10.86
1996.541642,12.31
1996.568734,16.51
1996.595826,14.45
1996.622918,14.61
1996.65001,14.5
1996.677102,13.37
1996.704194,16.17
1996.731285,18.56
1996.758377,19.05
1996.785469,11.92
1996.812561,20.53
1996.839653,24.59
1996.866745,19.7
1996.893837,14.61
1996.920929,15.43
1996.948021,15.97
1996.975113,10.24
1997.002211,9.11
1997.029377,11.24
1997.056543,8.6
1997.083709,10.99
1997.110875,3.76
1997.138042,9.12
1997.165208,9.32
1997.192374,8.95
1997.21954,11.24
1997.246706,12.54
1997.273872,13.64
1997.301038,8.64
1997.328205,9.85
1997.355371,12.91
1997.382537,8.91
1997.409703,12.95
1997.436869,7.84
1997.464035,10.31
1997.491202,13.22
1997.518368,13.94
1997.545534,18.73
1997.5727,18.25
1997.599866,13.65
1997.627032,20.52
1997.654198,22.7
1997.681365,23.56
1997.708531,26.2
1997.735697,28.43
1997.762863,30.17
1997.790029,26.44
1997.817195,25.37
1997.844362,26.63
1997.871528,22.76
1997.898694,22.01
1997.92586,23.58
1997.953026,15.47
1997.980192,17.26
1998.007358,14.14
1998.034525,17.81
1998.061691,13.58
1998.088857,16.41
1998.116023,16.3
1998.143189,15.12
1998.170355,13.78
1998.197521,16.35
1998.224688,16.31
1998.251854,15.53
1998.27902,17.43
1998.306186,14.93
1998.333352,14.3
1998.360518,11.66
1998.387685,13.15
1998.414851,8.7
1998.442017,9.43
1998.469183,8.18
1998.496349,11.28
1998.523515,10.85
1998.550681,9.33
1998.577848,10.71
1998.605014,10.86
1998.63218,10.61
1998.659346,14.15
1998.686512,15.42
1998.713678,14.78
1998.740845,14.93
1998.768011,16.01
1998.795177,14.4
1998.822343,16.79
1998.849509,14.58
1998.876675,14.41
1998.903841,10.67
1998.931008,14.87
1998.958174,10.93
1998.98534,12.09
1999.012506,10.34
1999.039672,12.21
1999.066838,10.15
1999.094005,7.65
1999.121171,18.17
1999.148337,15.23
1999.175503,16.84
1999.202669,15.02
1999.229835,16.06
1999.257001,13.87
1999.284168,14.93
1999.311334,9.81
1999.3385,11.79
1999.365666,13.69
1999.392832,12.51
1999.419998,13.67
1999.447164,10.22
1999.474331,12.17
1999.501497,13.34
1999.528663,15.42
1999.555829,15.31
1999.582995,16.31
1999.610161,15.08
1999.637328,20.38
1999.664494,17.11
1999.69166,21.03
1999.718826,24.48
1999.745992,23.73
1999.773158,27.03
1999.800324,24.02
1999.827491,23.38
1999.854657,22.02
1999.881823,22.81
1999.908989,20.41
1999.936155,22.51
1999.963321,21.53
1999.990488,20.97
2000.017605,18.92
2000.044697,19.89
2000.071789,20.18
2000.098881,16.41
2000.125973,15.59
2000.153065,18.94
2000.180157,18.8
2000.207249,16.75
2000.234341,20.22
2000.261433,14.9
2000.288525,14.99
2000.315617,16.06
2000.342709,14.22
2000.369801,15.27
2000.396892,15.36
2000.423984,15.2
2000.451076,14.24
2000.478168,13.65
2000.50526,15.65
2000.532352,17.5
2000.559444,17.9
2000.586536,15.35
2000.613628,19.19
2000.64072,24.12
2000.667812,21.56
2000.694904,22.72
2000.721996,27.49
2000.749088,29.89
2000.776179,30.55
2000.803271,27.76
2000.830363,36.39
2000.857455,28.52
2000.884547,25.22
2000.911639,23.89
2000.938731,20.32
2000.965823,20.07
2000.992915,22.83
2001.020062,21.52
2001.047228,22.25
2001.074394,21.17
2001.10156,22.01
2001.128726,19.52
2001.155892,23.4
2001.183059,26.39
2001.210225,19.18
2001.237391,22.89
2001.264557,21.93
2001.291723,24.51
2001.318889,22.66
2001.346055,20
2001.373222,19.57
2001.400388,19.32
2001.427554,19.29
2001.45472,18.93
2001.481886,23.35
2001.509052,25.9
2001.536218,26.66
2001.563385,22.88
2001.590551,27.76
2001.617717,26.36
2001.644883,28.28
2001.672049,30.33
2001.699215,33.27
2001.726382,34.48
2001.753548,36.5
2001.780714,32.12
2001.80788,28.23
2001.835046,32.07
2001.862212,33.34
2001.889378,28.26
2001.916545,26.73
2001.943711,24.96
2001.970877,25.79
2001.998043,27.23
2002.025209,22.86
2002.052375,24.92
2002.079542,28.03
2002.106708,25.6
2002.133874,24.98
2002.16104,27.98
2002.188206,22.29
2002.215372,23.48
2002.242538,24.4
2002.269705,26.89
2002.296871,23.05
2002.324037,24.31
2002.351203,22.41
2002.378369,24.07
2002.405535,23.97
2002.432702,20.94
2002.459868,22.09
2002.487034,26.85
2002.5142,26
2002.541366,28.54
2002.568532,30.32
2002.595698,32.77
2002.622865,36.31
2002.650031,33.33
2002.677197,33.98
2002.704363,35.57
2002.731529,36.46
2002.758695,35.23
2002.785861,37.38
2002.813028,41.99
2002.840194,36.7
2002.86736,36.88
2002.894526,36.17
2002.921692,32.03
2002.948858,31.55
2002.976025,31.95
2003.003191,29.18
2003.030357,26.91
2003.057523,33.91
2003.084689,33.31
2003.111855,35.14
2003.139021,29.1
2003.166188,29.22
2003.193354,30.13
2003.22052,31.35
2003.247686,30.86
2003.274852,31.36
2003.302018,29.63
2003.329185,28.18
2003.356351,28.22
2003.383517,28.22
2003.410683,28.04
2003.437849,25.43
2003.465015,28.23
2003.492181,27.24
2003.519348,28.78
2003.546514,32.14
2003.57368,30.85
2003.600846,32.66
2003.628012,31.4
2003.655178,36.88
2003.682345,38.68
2003.709511,37.24
2003.736677,37.84
2003.763843,39.28
2003.791009,38.25
2003.818175,40.54
2003.845341,37.26
2003.872508,34.7
2003.899674,29.59
2003.92684,36.28
2003.954006,36.34
2003.981172,32.3
2004.008316,31.98
2004.035407,36.6
2004.062499,36.57
2004.089591,34
2004.116683,26.93
2004.143775,31.59
2004.170867,33.13
2004.197959,31.19
2004.225051,31.1
2004.252143,32.69
2004.279235,31.07
2004.306327,32.71
2004.333419,28.33
2004.360511,26.79
2004.387603,22.95
2004.414694,26.51
2004.441786,25.38
2004.468878,27.86
2004.49597,33.56
2004.523062,33.82
2004.550154,33.13
2004.577246,32.3
2004.604338,34.55
2004.63143,38.33
2004.658522,38.18
2004.685614,38.64
2004.712706,43.19
2004.739798,40.06
2004.76689,40.34
2004.793981,41.43
2004.821073,39.06
2004.848165,39.01
2004.875257,38.92
2004.902349,35.25
2004.929441,39.13
2004.956533,37.35
2004.983625,41.02
2005.010746,33.23
2005.037912,32.54
2005.065079,36.2
2005.092245,37.19
2005.119411,36.96
2005.146577,35.71
2005.173743,39.97
2005.200909,38.76
2005.228075,33.34
2005.255242,35.16
2005.282408,38.51
2005.309574,32.81
2005.33674,33.98
2005.363906,34.97
2005.391072,35.11
2005.418239,34.81
2005.445405,34.92
2005.472571,36.1
2005.499737,34.95
2005.526903,38.25
2005.554069,36.52
2005.581235,39.95
2005.608402,38.07
2005.635568,39.17
2005.662734,41.1
2005.6899,42.33
2005.717066,44.6
2005.744232,44.88
2005.771399,44.45
2005.798565,41.51
2005.825731,42.53
2005.852897,45.78
2005.880063,44.28
2005.907229,44.3
2005.934395,42.44
2005.961562,41.34
2005.988728,40.71
2006.015894,37.66
2006.04306,36.44
2006.070226,36.7
2006.097392,36.7
2006.124559,35.45
2006.151725,36.46
2006.178891,38.84
2006.206057,32.6
2006.233223,34.6
2006.260389,35.46
